id_amat;id_via;anagrafica;gerarchia;rete;tipologia;sede;marcia;norma;lunghezza;geometry
12027;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;10.0;LINESTRING (9.205843526355642 45.47536514911715, 9.205913413737868 45.47544475156245)
12028;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;corsia ciclabile;85.0;LINESTRING (9.205913413737868 45.47544475156245, 9.206001543157919 45.47551477066769, 9.206001616094218 45.47553482132108, 9.205996975535022 45.4755649058532, 9.206321724962798 45.47588220916937, 9.206394274975105 45.47591298994215, 9.206531047988715 45.47605392271348)
12029;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;31.0;LINESTRING (9.207082936701282 45.47637500219494, 9.207330165856042 45.47659887257083)
12030;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;34.0;LINESTRING (9.206925256109331 45.47644588294062, 9.207180277150568 45.47668979032638)
12031;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;37.0;LINESTRING (9.207330165856042 45.47659887257083, 9.207582831141844 45.47684737829071, 9.207607268698816 45.47686731589437)
12032;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;34.0;LINESTRING (9.207180277150568 45.47668979032638, 9.207432954427711 45.47694163814869)
12033;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;10.0;LINESTRING (9.207607268698816 45.47686731589437, 9.207690624763286 45.47693532255369)
12034;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;10.0;LINESTRING (9.207432954427711 45.47694163814869, 9.207507635369332 45.47701715582499)
12035;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;85.0;LINESTRING (9.207690624763286 45.47693532255369, 9.207944520547072 45.47719468606386, 9.208284379238076 45.47757851369092)
12036;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;corsia ciclabile;89.0;LINESTRING (9.207507635369332 45.47701715582499, 9.207583011698041 45.47709337642391, 9.2075746448642 45.4771212693275, 9.208009932758131 45.47754462032913, 9.208085965530502 45.47755283656192, 9.208169408636905 45.4776385967826)
12037;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;16.0;LINESTRING (9.208284379238076 45.47757851369092, 9.20840054482192 45.47769279480715)
12038;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;11.0;LINESTRING (9.209659816904656 45.47893304907162, 9.209742563454387 45.47901556318067)
12039;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;15.0;LINESTRING (9.208169408636905 45.4776385967826, 9.208280842884099 45.47775126331443)
12040;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;21.0;LINESTRING (9.210640125819952 45.48014877579283, 9.210796667871628 45.48030221003433)
12041;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;21.0;LINESTRING (9.210797378342594 45.48006772612833, 9.210953133019739 45.48022227553992)
12042;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;47.0;LINESTRING (9.209330353810616 45.47858192835703, 9.209659816904656 45.47893304907162)
12043;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;14.0;LINESTRING (9.209211654709282 45.47849024608851, 9.209330353810616 45.47858192835703)
12044;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;9.0;LINESTRING (9.209515016504302 45.47900926947103, 9.209581789455223 45.4790793350407)
12045;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;145.0;LINESTRING (9.209581789455223 45.4790793350407, 9.209651524778904 45.47915250883121, 9.210400118476455 45.47990526639337, 9.210640125819952 45.48014877579283)
12046;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;corsia ciclabile;100.0;LINESTRING (9.209742563454387 45.47901556318067, 9.209800867116929 45.47907370288252, 9.209846860581463 45.47909366930535, 9.210457199899817 45.47971300819737, 9.210466833020869 45.47974863629028)
12047;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;corsia ciclabile;112.0;LINESTRING (9.20840054482192 45.47769279480715, 9.208546588281578 45.47783646828449, 9.208629780614196 45.47785386104373, 9.208906337564391 45.47813740907051, 9.209161404110313 45.47838924864351, 9.209154439277407 45.478432704721, 9.209211654709282 45.47849024608851)
12048;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;corsia ciclabile;171.0;LINESTRING (9.208280842884099 45.47775126331443, 9.208430054551116 45.47790212414512, 9.208428606470406 45.4779388865397, 9.209428312465263 45.47895240991166, 9.209473489266262 45.47896569438923, 9.209515016504302 45.47900926947103)
12049;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;32.0;LINESTRING (9.210953133019739 45.48022227553992, 9.211188368788504 45.48045910898281)
12050;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;12.0;LINESTRING (9.212121587370257 45.48145268028496, 9.212212180065949 45.48154162679085)
12051;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;corsia ciclabile;88.0;LINESTRING (9.212212180065949 45.48154162679085, 9.212298001690643 45.48162501242034, 9.21233287607739 45.48163497308375, 9.212693713604827 45.48200301408035, 9.212704923662157 45.4820364111762, 9.212851183764439 45.48218986166719)
12052;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;12.0;LINESTRING (9.212851183764439 45.48218986166719, 9.212938607584872 45.4822776995499)
12053;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;corsia ciclabile;95.0;LINESTRING (9.212938607584872 45.4822776995499, 9.213051464267785 45.48239111042267, 9.213089502090991 45.48239995103163, 9.213644293907354 45.48296464987355)
12054;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;26.0;LINESTRING (9.21384297732949 45.48316381582435, 9.214035309223684 45.48335505229877)
12055;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;corsia ciclabile;84.0;LINESTRING (9.214035309223684 45.48335505229877, 9.214646470560213 45.48397158705579)
12056;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;23.0;LINESTRING (9.215143285858378 45.48447136069069, 9.21531493844811 45.48463589951575)
12057;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;7.0;LINESTRING (9.211188368788504 45.48045910898281, 9.211222620911435 45.48051474232804)
12058;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;126.0;LINESTRING (9.211222620911435 45.48051474232804, 9.211270423964031 45.48059485713301, 9.21134832336087 45.48067770115297, 9.211666973903496 45.48098901287565, 9.212121587370257 45.48145268028496)
12059;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;corsia ciclabile;24.0;LINESTRING (9.215435979804392 45.48475969761201, 9.215610637295027 45.48493833177098)
12060;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;15.0;LINESTRING (9.215610637295027 45.48493833177098, 9.215714744396212 45.48504915708418)
12061;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;corsia ciclabile;29.0;LINESTRING (9.215714744396212 45.48504915708418, 9.215929322304307 45.48526673743309)
12062;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;164.0;LINESTRING (9.210796667871628 45.48030221003433, 9.211645809101636 45.48115168601533, 9.211998702860104 45.48151473124212)
12063;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;12.0;LINESTRING (9.211998702860104 45.48151473124212, 9.212083753248333 45.48160368811856)
12064;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica protetta da sosta;carreggiata;monodirezionale - concorde;corsia ciclabile;88.0;LINESTRING (9.212083753248333 45.48160368811856, 9.212170381135122 45.48169097110793, 9.212172848212472 45.48171547302094, 9.212580555406655 45.48212519986031, 9.212614653040934 45.48213906063929, 9.212723533285756 45.48224802350369)
12065;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;13.0;LINESTRING (9.212723533285756 45.48224802350369, 9.212818915376014 45.48234670750855)
12066;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;28.0;LINESTRING (9.212818915376014 45.48234670750855, 9.212998528890092 45.48252627313649, 9.213006563817258 45.48255744824863)
12067;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;26.0;LINESTRING (9.213678943266228 45.48323235057969, 9.213864963822701 45.48342972574625)
12068;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;40.0;LINESTRING (9.213864963822701 45.48342972574625, 9.214162176559713 45.48372380861821)
12069;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;15.0;LINESTRING (9.214497589218034 45.48405568450618, 9.214600934327217 45.48416465592222)
12070;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;52.0;LINESTRING (9.214600934327217 45.48416465592222, 9.214980856427966 45.48454602090127)
12071;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;attraversamento - ciclabile;19.0;LINESTRING (9.214980856427966 45.48454602090127, 9.215120761048345 45.48469056891603)
12072;2129;CORSO BUENOS AIRES;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;corsia ciclabile;40.0;LINESTRING (9.215120761048345 45.48469056891603, 9.21541236507146 45.48498249572967)
12073;3326;VIA ATTILIO REGOLO;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;167.0;LINESTRING (9.240303847405967 45.45729646660244, 9.240274283462764 45.45730009732731, 9.240094836446927 45.45723385987582, 9.239053632670521 45.45683040739061, 9.238428920523292 45.45658904503362)
12074;3326;VIA ATTILIO REGOLO;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;ordinanza lavori stradali;38.0;LINESTRING (9.238556655398584 45.45641748490755, 9.238988340574263 45.45657836128731)
12075;3326;VIA ATTILIO REGOLO;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;131.0;LINESTRING (9.238988340574263 45.45657836128731, 9.240449441684559 45.45715222628421)
12076;3327;PIAZZA CARTAGINE;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;74.0;LINESTRING (9.238428920523292 45.45658904503362, 9.238244384775031 45.45651746234257, 9.238071698442551 45.45645001808238, 9.238028543165578 45.45643702294853, 9.23782803385488 45.45638510023664, 9.237730772135128 45.45636745931077, 9.237554913446063 45.45634938678489)
12077;3327;PIAZZA CARTAGINE;;ciclabile;corsia ciclabile - segnaletica;carreggiata;monodirezionale - concorde;ordinanza lavori stradali;83.0;LINESTRING (9.238556655398584 45.45641748490755, 9.238403428882924 45.45635535349378, 9.238164729927849 45.45626544566841, 9.238056392032076 45.45622641635388, 9.237998865224471 45.4562122615762, 9.237956590217728 45.4562075913657, 9.237562783488942 45.45619847310176)
12078;3334;VIA CESARE LOMBROSO;;ciclabile;corsia ciclabile - attraversamento DL 34/2020;attraversamento;monodirezionale - concorde;ordinanza lavori stradali;27.0;LINESTRING (9.232224888455827 45.45616346261303, 9.231876682877219 45.4561582212672)
